代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sh900901,云赛Ｂ股,0.762,0.011,1.465,0.76,0.762,0.751,0.752,0.764,0.752,1204905,916492
sh900902,市北B股,0.169,0.0,0.0,0.168,0.169,0.169,0.17,0.17,0.168,583800,98454
sh900903,大众Ｂ股,0.186,-0.002,-1.064,0.186,0.187,0.188,0.188,0.189,0.186,670600,125747
sh900904,神奇B股,0.493,-0.003,-0.605,0.492,0.493,0.496,0.493,0.501,0.486,87354,42833
sh900905,老凤祥Ｂ,3.373,0.009,0.268,3.372,3.373,3.364,3.363,3.375,3.36,61495,207039
sh900906,中毅达B,0.277,0.001,0.362,0.277,0.278,0.276,0.276,0.279,0.275,221300,61136
sh900908,氯碱Ｂ股,0.693,0.001,0.145,0.692,0.693,0.692,0.693,0.695,0.691,167200,115831
sh900909,华谊B股,0.527,-0.001,-0.189,0.528,0.53,0.528,0.529,0.53,0.521,170400,89752
sh900910,海立Ｂ股,0.57,0.001,0.176,0.57,0.571,0.569,0.568,0.574,0.563,347012,197601
sh900911,金桥Ｂ股,0.772,0.008,1.047,0.771,0.772,0.764,0.764,0.773,0.764,445214,342683
sh900912,外高Ｂ股,0.692,0.004,0.581,0.692,0.693,0.688,0.688,0.698,0.686,486100,337517
sh900913,国新B股,0.216,-0.001,-0.461,0.216,0.217,0.217,0.212,0.218,0.212,229016,48754
sh900914,锦在线B,0.478,0.002,0.42,0.478,0.482,0.476,0.475,0.484,0.475,236930,113685
sh900915,中路Ｂ股,0.359,0.0,0.0,0.357,0.359,0.359,0.359,0.359,0.355,47640,16940
sh900916,凤凰B股,0.386,0.0,0.0,0.386,0.387,0.386,0.388,0.388,0.385,54400,21028
sh900917,海欣Ｂ股,0.274,-0.001,-0.364,0.274,0.275,0.275,0.274,0.275,0.272,250900,68588
sh900918,耀皮Ｂ股,0.35,0.0,0.0,0.35,0.351,0.35,0.352,0.353,0.35,92100,32379
sh900920,动力Ｂ股,0.386,0.008,2.116,0.385,0.386,0.378,0.38,0.387,0.373,1516938,579505
sh900921,金煤B股,0.176,-0.003,-1.676,0.176,0.177,0.179,0.178,0.18,0.176,994118,176348
sh900922,三毛B股,0.718,0.011,1.556,0.711,0.718,0.707,0.733,0.733,0.71,74600,53367
sh900923,百联Ｂ股,0.497,-0.001,-0.201,0.497,0.498,0.498,0.498,0.498,0.49,331850,163489
sh900924,上工Ｂ股,0.346,-0.006,-1.705,0.348,0.351,0.352,0.349,0.352,0.346,230722,80316
sh900925,机电Ｂ股,1.409,-0.01,-0.705,1.409,1.41,1.419,1.419,1.43,1.406,363000,514016
sh900926,宝信Ｂ,1.029,0.017,1.68,1.029,1.03,1.012,1.012,1.032,1.008,848119,866435
sh900927,物贸Ｂ股,0.361,0.0,0.0,0.361,0.364,0.361,0.361,0.365,0.361,77800,28093
sh900928,临港B股,0.647,-0.003,-0.462,0.648,0.65,0.65,0.65,0.654,0.645,139400,90458
sh900929,锦旅Ｂ股,1.129,-0.004,-0.353,1.129,1.135,1.133,1.13,1.136,1.129,27904,31558
sh900932,陆家Ｂ股,0.402,-0.001,-0.248,0.402,0.403,0.403,0.403,0.405,0.402,305773,123206
sh900934,锦江Ｂ股,1.517,0.012,0.797,1.516,1.517,1.505,1.51,1.519,1.508,150800,228185
sh900936,鄂资Ｂ股,1.252,0.035,2.876,1.252,1.253,1.217,1.213,1.254,1.213,1368115,1698059
sh900937,华电B股,0.169,-0.001,-0.588,0.168,0.169,0.17,0.168,0.169,0.167,1658000,278127
sh900938,海科B,0.229,-0.001,-0.435,0.229,0.23,0.23,0.23,0.23,0.229,45912,10520
sh900939,汇丽B,0.591,-0.013,-2.152,0.591,0.592,0.604,0.596,0.598,0.589,368100,218451
sh900940,大名城B,0.244,0.005,2.092,0.243,0.244,0.239,0.239,0.245,0.238,450558,108858
sh900941,东信Ｂ股,0.502,0.006,1.21,0.502,0.503,0.496,0.502,0.504,0.498,1100824,552693
sh900942,黄山Ｂ股,0.713,0.0,0.0,0.71,0.713,0.713,0.711,0.716,0.709,125768,89553
sh900943,开开Ｂ股,0.439,-0.003,-0.679,0.439,0.44,0.442,0.438,0.442,0.438,8500,3738
sh900945,海控B股,0.247,-0.001,-0.403,0.247,0.248,0.248,0.248,0.248,0.247,54100,13404
sh900946,天雁B股,0.192,-0.001,-0.518,0.192,0.193,0.193,0.198,0.198,0.191,277400,53316
sh900947,振华Ｂ股,0.266,0.002,0.758,0.265,0.266,0.264,0.264,0.267,0.263,817800,217359
sh900948,伊泰Ｂ股,2.212,0.013,0.591,2.211,2.212,2.199,2.196,2.215,2.196,950200,2100670
sz200011,深物业B,2.8,-0.01,-0.356,2.79,2.81,2.81,2.81,2.85,2.8,88600,249337
sz200012,南 玻Ｂ,1.59,0.01,0.633,1.58,1.59,1.58,1.58,1.59,1.57,417519,659421
sz200016,深康佳Ｂ,0.81,0.0,0.0,0.8,0.81,0.81,0.8,0.82,0.8,757060,611701
sz200017,深中华B,1.75,0.01,0.575,1.74,1.75,1.74,1.75,1.75,1.73,65574,114405
sz200019,深粮B,3.62,0.02,0.556,3.61,3.62,3.6,3.58,3.62,3.58,98000,351450
sz200020,深华发Ｂ,2.96,-0.01,-0.337,2.95,2.96,2.97,2.96,2.96,2.96,42700,126392
sz200025,特 力Ｂ,4.5,-0.01,-0.222,4.5,4.52,4.51,4.49,4.53,4.45,91850,412401
sz200026,飞亚达Ｂ,6.92,-0.05,-0.717,6.91,6.92,6.97,6.86,6.96,6.85,50300,347269
sz200028,一致Ｂ,13.97,-0.04,-0.286,13.97,13.99,14.01,14.02,14.03,13.96,165224,2310279
sz200029,深深房Ｂ,3.96,-0.01,-0.252,3.95,3.96,3.97,3.97,3.97,3.91,98500,387878
sz200030,富奥B,3.19,0.01,0.314,3.18,3.19,3.18,3.19,3.2,3.17,119900,382577
